name,state,party,constituency,attendance,debates,questions
Sudhakar Singh,Bihar,Rashtriya Janata Dal,Buxar,0.948717949,30.0,75.0
Tariq Anwar,Bihar,Indian National Congress,Katihar,0.957264957,11.0,46.0
Veena Devi,Bihar,Lok Janshakti Party (Ram Vilas),Vaishali,0.982905983,4.0,1.0
Vijaylakshmi Devi,Bihar,Janata Dal (United),Siwan,0.991452991,4.0,79.0
Vivek Thakur,Bihar,Bharatiya Janata Party,Nawada,0.957264957,2.0,19.0
Bhojraj Nag,Chhattisgarh,Bharatiya Janata Party,Kanker,0.846153846,1.0,150.0
Brijmohan Agrawal,Chhattisgarh,Bharatiya Janata Party,Raipur,0.837606838,18.0,124.0
Chintamani Maharaj,Chhattisgarh,Bharatiya Janata Party,Surguja,0.820512821,2.0,83.0
Jyotsna Charandas Mahant,Chhattisgarh,Indian National Congress,Korba,0.88034188,9.0,57.0
Kamlesh Jangde,Chhattisgarh,Bharatiya Janata Party,Janjgir-Champa,0.923076923,6.0,146.0
Mahesh Kashyap,Chhattisgarh,Bharatiya Janata Party,Bastar,0.803418803,9.0,74.0
Radheshyam Rathiya,Chhattisgarh,Bharatiya Janata Party,Raigarh,0.811965812,4.0,62.0
Roopkumari Choudhary,Chhattisgarh,Bharatiya Janata Party,Mahasamund,0.923076923,10.0,122.0
Santosh Pandey,Chhattisgarh,Bharatiya Janata Party,Rajnandgaon,0.923076923,12.0,16.0
Vijay Baghel,Chhattisgarh,Bharatiya Janata Party,Durg,0.888888889,11.0,206.0
Bharatbhai Manubhai Sutariya,Gujarat,Bharatiya Janata Party,Amreli,0.965811966,2.0,7.0
Chandubhai Chhaganbhai Shihora,Gujarat,Bharatiya Janata Party,Surendranagar,0.897435897,1.0,7.0
Chavda Vinod Lakhamshi,Gujarat,Bharatiya Janata Party,Kachchh,0.923076923,5.0,142.0
Chudasama Rajeshbhai Naranbhai,Gujarat,Bharatiya Janata Party,Junagadh,0.905982906,2.0,143.0
Devusinh Chauhan,Gujarat,Bharatiya Janata Party,Kheda,0.982905983,1.0,50.0
Dhaval Laxmanbhai Patel,Gujarat,Bharatiya Janata Party,Valsad,0.94017094,7.0,77.0
Dineshbhai Makwana,Gujarat,Bharatiya Janata Party,Ahmedabad West,0.991452991,6.0,193.0
Geniben Nagaji Thakor,Gujarat,Indian National Congress,Banaskantha,0.888888889,23.0,94.0
Haribhai Patel,Gujarat,Bharatiya Janata Party,Mahesana,0.974358974,13.0,99.0
Hasmukhbhai Somabhai Patel,Gujarat,Bharatiya Janata Party,Ahmedabad East,0.982905983,10.0,71.0
Hemang Joshi,Gujarat,Bharatiya Janata Party,Vadodara,0.931623932,6.0,63.0
Jashubhai Bhilubhai Rathva,Gujarat,Bharatiya Janata Party,Chhota Udaipur,0.948717949,3.0,100.0
Jaswantsinh Sumanbhai Bhabhor,Gujarat,Bharatiya Janata Party,Dahod,0.94017094,8.0,144.0
Mansukhbhai Dhanjibhai Vasava,Gujarat,Bharatiya Janata Party,Bharuch,0.871794872,19.0,28.0
Mitesh Patel Bakabhai,Gujarat,Bharatiya Janata Party,Anand,0.991452991,20.0,82.0
Mukeshkumar Chandrakaant Dalal,Gujarat,Bharatiya Janata Party,Surat,0.982905983,20.0,140.0
Parbhubhai Nagarbhai Vasava,Gujarat,Bharatiya Janata Party,Bardoli,0.786324786,11.0,87.0
Poonamben Hematbhai Maadam,Gujarat,Bharatiya Janata Party,Jamnagar,0.897435897,10.0,150.0
Rajpalsinh Mahendrasinh Jadav,Gujarat,Bharatiya Janata Party,Panchmahal,0.94017094,6.0,14.0
Shobhanaben Mahendrasinh Baraiya,Gujarat,Bharatiya Janata Party,Sabarkantha,0.982905983,15.0,173.0
Deepender Singh Hooda,Haryana,Indian National Congress,Rohtak,0.94017094,14.0,55.0
Dharambir Singh,Haryana,Bharatiya Janata Party,Bhiwani-Mahendragarh,0.957264957,16.0,142.0
Jai Parkash,Haryana,Indian National Congress,Hisar,0.965811966,5.0,43.0
Naveen Jindal,Haryana,Bharatiya Janata Party,Kurukshetra,0.786324786,20.0,89.0
Satpal Brahamchari,Haryana,Indian National Congress,Sonipat,0.965811966,11.0,144.0
Kumari Selja,Haryana,Indian National Congress,Sirsa,0.905982906,7.0,28.0
Varun Chaudhry,Haryana,Indian National Congress,Ambala,1.0,10.0,46.0
Anurag Singh Thakur,Himachal Pradesh,Bharatiya Janata Party,Hamirpur,0.914529915,25.0,122.0
Kangna Ranaut,Himachal Pradesh,Bharatiya Janata Party,Mandi,0.846153846,16.0,143.0
Rajeev Bhardwaj,Himachal Pradesh,Bharatiya Janata Party,Kangra,0.957264957,11.0,93.0
Suresh Kumar Kashyap,Himachal Pradesh,Bharatiya Janata Party,Shimla,0.854700855,22.0,133.0
Abdul Rashid Sheikh,Jammu And Kashmir,Independent,Baramulla,0.290598291,18.0,6.0
Aga Syed Ruhullah Mehdi,Jammu and Kashmir,Jammu and Kashmir National Conference,Srinagar,0.94017094,16.0,10.0
Jugal Kishore,Jammu And Kashmir,Bharatiya Janata Party,Jammu,0.905982906,25.0,147.0
Mian Altaf Ahmad,Jammu And Kashmir,Jammu and Kashmir National Conference,Anantnag-Rajouri,0.666666667,13.0,11.0
Chandra Prakash Choudhary,Jharkhand,AJSU Party,Giridih,0.871794872,16.0,90.0
Dulu Mahato,Jharkhand,Bharatiya Janata Party,Dhanbad,0.829059829,23.0,152.0
Joba Majhi,Jharkhand,Jharkhand Mukti Morcha,Singhbhum,0.752136752,4.0,26.0
Kali Charan Munda,Jharkhand,Indian National Congress,Khunti,0.829059829,15.0,2.0
Mohmad Haneefa,Ladakh,Independent,Ladakh,0.871794872,13.0,53.0
Manish Jaiswal,Jharkhand,Bharatiya Janata Party,Hazaribagh,0.957264957,27.0,180.0
Nalin Soren,Jharkhand,Jharkhand Mukti Morcha,Dumka,0.418803419,3.0,84.0
Sukhdeo Bhagat,Jharkhand,Indian National Congress,Lohardaga,0.923076923,11.0,62.0
Vijay Kumar Hansdak,Jharkhand,Jharkhand Mukti Morcha,Rajmahal,0.863247863,9.0,28.0
B Y Raghavendra,Karnataka,Bharatiya Janata Party,Shimoga,0.752136752,5.0,60.0
Basavaraj Bommai,Karnataka,Bharatiya Janata Party,Haveri,0.777777778,2.0,115.0
Brijesh Chowta,Karnataka,Bharatiya Janata Party,Dakshina Kannada,0.957264957,28.0,143.0
C N Manjunath,Karnataka,Bharatiya Janata Party,Bangalore Rural,0.94017094,12.0,13.0
E Tukaram,Karnataka,Indian National Congress,Bellary,0.555555556,1.0,37.0
G Kumar Naik,Karnataka,Indian National Congress,Raichur,0.863247863,10.0,61.0
Govind Makthappa Karjol,Karnataka,Bharatiya Janata Party,Chitradurga,0.743589744,2.0,64.0
Jagadish Shettar,Karnataka,Bharatiya Janata Party,Belgaum,0.846153846,2.0,33.0
Kota Srinivasa Poojary,Karnataka,Bharatiya Janata Party,Udupi Chikmagalur,0.854700855,14.0,156.0
M Mallesh Babu,Karnataka,Janata Dal (Secular),Kolar,0.905982906,11.0,17.0
P C Mohan,Karnataka,Bharatiya Janata Party,Bangalore Central,0.965811966,4.0,164.0
Gaddigoudar Parvatagouda Chandanagouda,Karnataka,Bharatiya Janata Party,Bagalkot,0.888888889,1.0,16.0
Prabha Mallikarjun,Karnataka,Indian National Congress,Davangere,0.846153846,22.0,70.0
Priyanka Satish Jarkiholi,Karnataka,Indian National Congress,Chikkodi,0.572649573,1.0,4.0
Radhakrishna,Karnataka,Indian National Congress,Gulbarga,0.512820513,3.0,35.0
Ramesh Chandappa Jigajinagi,Karnataka,Bharatiya Janata Party,Bijapur,0.905982906,1.0,4.0
Sagar Eshwar Khandre,Karnataka,Indian National Congress,Bidar,0.854700855,5.0,7.0
Shreyas M Patel,Karnataka,Indian National Congress,Hassan,0.786324786,15.0,15.0
Sunil Bose,Karnataka,Indian National Congress,Chamarajanagar,0.58974359,1.0,25.0
Tejasvi Surya,Karnataka,Bharatiya Janata Party,Bangalore South,0.794871795,23.0,153.0
Vishweshwar Hegde Kageri,Karnataka,Bharatiya Janata Party,Uttara Kannada,0.948717949,12.0,164.0
Yaduveer Wadiyar,Karnataka,Bharatiya Janata Party,Mysore,0.854700855,13.0,87.0
Anto Antony,Kerala,Indian National Congress,Pathanamthitta,0.794871795,25.0,151.0
K. Francis George,Kerala,Kerala Congress,Kottayam,0.777777778,33.0,33.0
K C Venugopal,Kerala,Indian National Congress,Alappuzha,0.863247863,38.0,119.0
K Radhakrishnan,Kerala,Communist Party Of India (Marxist),Alathur,0.811965812,17.0,107.0
K Sudhakaran,Kerala,Indian National Congress,Kannur,0.606837607,8.0,137.0
M K Raghavan,Kerala,Indian National Congress,Kozhikode,0.743589744,23.0,120.0
M P Abdussamad Samadani,Kerala,Indian Union Muslim League,Ponnani,0.863247863,17.0,103.0
Priyanka Gandhi Vadra,Kerala,Indian National Congress,Wayanad,0.842105263,9.0,24.0
Rajmohan Unnithan,Kerala,Indian National Congress,Kasaragod,0.811965812,21.0,98.0
Kodikunnil Suresh,Kerala,Indian National Congress,Mavelikkara,0.846153846,47.0,117.0
Alok Sharma,Madhya Pradesh,Bharatiya Janata Party,Bhopal,0.905982906,10.0,181.0
Anil Firojiya,Madhya Pradesh,Bharatiya Janata Party,Ujjain,0.88034188,9.0,104.0
Anita Nagarsingh Chouhan,Madhya Pradesh,Bharatiya Janata Party,Ratlam,0.820512821,16.0,41.0
Ashish Dubey,Madhya Pradesh,Bharatiya Janata Party,Jabalpur,0.982905983,15.0,45.0
Bharat Singh Kushwah,Madhya Pradesh,Bharatiya Janata Party,Gwalior,0.914529915,1.0,29.0
Bunty Vivek Sahu,Madhya Pradesh,Bharatiya Janata Party,Chhindwara,0.829059829,7.0,62.0
Rajesh Mishra,Madhya Pradesh,Bharatiya Janata Party,Sidhi,0.991452991,23.0,180.0
Faggan Singh Kulaste,Madhya Pradesh,Bharatiya Janata Party,Mandla,0.88034188,4.0,17.0
Gajendra Singh Patel,Madhya Pradesh,Bharatiya Janata Party,Khargone,0.957264957,11.0,69.0
Gyaneshwar Patil,Madhya Pradesh,Bharatiya Janata Party,Khandwa,0.914529915,10.0,183.0
Himadri Singh,Madhya Pradesh,Bharatiya Janata Party,Shahdol,0.957264957,5.0,123.0
Janardan Mishra,Madhya Pradesh,Bharatiya Janata Party,Rewa,1.0,15.0,142.0
Lata Wankhede,Madhya Pradesh,Bharatiya Janata Party,Sagar,0.863247863,16.0,73.0
Rahul Singh Lodhi,Madhya Pradesh,Bharatiya Janata Party,Damoh,0.931623932,5.0,45.0
Rodmal Nagar,Madhya Pradesh,Bharatiya Janata Party,Rajgarh,0.931623932,23.0,24.0
Sandhya Ray,Madhya Pradesh,Bharatiya Janata Party,Bhind,0.974358974,6.0,45.0
Shankar Lalwani,Madhya Pradesh,Bharatiya Janata Party,Indore,1.0,16.0,116.0
Sudheer Gupta,Madhya Pradesh,Bharatiya Janata Party,Mandsour,0.931623932,40.0,194.0
Vishnu Datt Sharma,Madhya Pradesh,Bharatiya Janata Party,Khajuraho,0.760683761,6.0,115.0
Amar Sharadrao Kale,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Wardha,0.854700855,8.0,93.0
Amol Ramsing Kolhe,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Shirur,0.777777778,15.0,192.0
Anil Yeshwant Desai,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Mumbai South Central,0.957264957,21.0,94.0
Bajrang Manohar Sonwane,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Beed,0.871794872,34.0,164.0
Bhaskar Murlidhar Bhagare,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Dindori,0.957264957,33.0,180.0
Bhausaheb Rajaram Wakchaure,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Shirdi,0.905982906,9.0,116.0
Chavan Ravindra Vasantrao,Maharashtra,Indian National Congress,Nanded,0.673684211,7.0,125.0
Chhatrapati Shahu Shahaji,Maharashtra,Indian National Congress,Kolhapur,0.538461538,3.0,3.0
Dhairyasheel Sambhajirao Mane,Maharashtra,Shiv Sena,Hatkanangle,0.752136752,16.0,187.0
Dhanorkar Pratibha Suresh,Maharashtra,Indian National Congress,Chandrapur,0.897435897,17.0,56.0
Shivaji Bandappa Kalge,Maharashtra,Indian National Congress,Latur,0.897435897,21.0,161.0
Gaikwad Varsha Eknath,Maharashtra,Indian National Congress,Mumbai North Central,0.948717949,38.0,195.0
Kalyan Vaijinathrao Kale,Maharashtra,Indian National Congress,Jalna,0.846153846,5.0,68.0
Mohite Patil Dhairyasheel Rajsinh,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Madha,0.846153846,10.0,182.0
Namdeo Kirsan,Maharashtra,Indian National Congress,Gadchiroli-Chimur,0.752136752,20.0,136.0
Naresh Ganpat Mhaske,Maharashtra,Shiv Sena,Thane,0.957264957,41.0,209.0
Balabhadra Majhi,Odisha,Bharatiya Janata Party,Nabarangpur,0.914529915,13.0,144.0
Nilesh Dnyandev Lanke,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Ahmednagar,0.777777778,36.0,204.0
Rajabhau Parag Prakash Waje,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Nashik,0.931623932,28.0,59.0
Sanjay Dina Patil,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Mumbai North East,0.837606838,14.0,177.0
Sanjay Haribhau Jadhav,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Parbhani,0.64957265,9.0,183.0
Sanjay Uttamrao Deshmukh,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackeray),Yavatmal-Washim,0.846153846,19.0,123.0
Shyamkumar Daulat Barve,Maharashtra,Indian National Congress,Ramtek,0.931623932,16.0,96.0
Balya Mama Suresh Gopinath Mhatre,Maharashtra,Nationalist Congress Party Sharadchandra Pawar,Bhiwandi,0.641025641,10.0,120.0
Tatkare Sunil Dattatrey,Maharashtra,Nationalist Congress Party,Raigad,0.641025641,10.0,88.0
Angomcha Bimol Akoijam,Manipur,Indian National Congress,Inner Manipur,0.863247863,13.0,55.0
Ricky Andrew J Syngkon,Meghalaya,Voice of the People Party,Shillong,0.735042735,9.0,19.0
Saleng A Sangma,Meghalaya,Indian National Congress,Tura,0.914529915,11.0,14.0
Richard Vanlalhmangaiha,Mizoram,Zoram People's Movement,Mizoram,0.982905983,3.0,12.0
S Supongmeren Jamir,Nagaland,Indian National Congress,Nagaland,0.965811966,21.0,7.0
Ananta Nayak,Odisha,Bharatiya Janata Party,Keonjhar,0.974358974,17.0,78.0
Anita Subhadarshini,Odisha,Bharatiya Janata Party,Aska,0.897435897,24.0,29.0
Aparajita Sarangi,Odisha,Bharatiya Janata Party,Bhubaneswar,0.854700855,9.0,129.0
Avimanyu Sethi,Odisha,Bharatiya Janata Party,Bhadrak,0.965811966,5.0,44.0
Baijayant Panda,Odisha,Bharatiya Janata Party,Kendrapara,0.820512821,3.0,116.0
Bibhu Prasad Tarai,Odisha,Bharatiya Janata Party,Jagatsinghpur,0.931623932,14.0,141.0
Pradeep Kumar Panigrahy,Odisha,Bharatiya Janata Party,Berhampur,0.623931624,8.0,34.0
Malvika Devi,Odisha,Bharatiya Janata Party,Kalahandi,0.982905983,40.0,72.0
Naba Charan Majhi,Odisha,Bharatiya Janata Party,Mayurbhanj,0.829059829,2.0,207.0
Pradeep Purohit,Odisha,Bharatiya Janata Party,Bargarh,0.982905983,22.0,131.0
Pratap Chandra Sarangi,Odisha,Bharatiya Janata Party,Balasore,0.777777778,7.0,127.0
Rabindra Narayan Behera,Odisha,Bharatiya Janata Party,Jajpur,0.923076923,11.0,14.0
Sanjna Jatav,Rajasthan,Indian National Congress,Bharatpur,1.0,13.0,82.0
Rudra Narayan Pany,Odisha,Bharatiya Janata Party,Dhenkanal,0.811965812,18.0,29.0
Sambit Patra,Odisha,Bharatiya Janata Party,Puri,0.905982906,14.0,55.0
Sangeeta Kumari Singh Deo,Odisha,Bharatiya Janata Party,Bolangir,0.846153846,30.0,80.0
Sukanta Kumar Panigrahi,Odisha,Bharatiya Janata Party,Kandhamal,0.957264957,17.0,114.0
Amar Singh,Punjab,Indian National Congress,Fatehgarh Sahib,0.982905983,14.0,120.0
Amrinder Singh Raja Warring,Punjab,Indian National Congress,Ludhiana,0.666666667,15.0,82.0
Charanjit Singh Channi,Punjab,Indian National Congress,Jalandhar,0.683760684,6.0,108.0
Gurjeet Singh Aujla,Punjab,Indian National Congress,Amritsar,0.88034188,23.0,71.0
Gurmeet Singh Meet Hayer,Punjab,Aam Aadmi Party,Sangrur,0.846153846,24.0,81.0
Harsimrat Kaur Badal,Punjab,Shiromani Akali Dal,Bathinda,0.700854701,21.0,68.0
Malvinder Singh Kang,Punjab,Aam Aadmi Party,Anandpur Sahib,0.948717949,18.0,45.0
Raj Kumar Chabbewal,Punjab,Aam Aadmi Party,Hoshiarpur,0.581196581,6.0,22.0
Sarabjeet Singh Khalsa,Punjab,Independent,Faridkot,0.358974359,1.0,1.0
Sher Singh Ghubaya,Punjab,Indian National Congress,Firozpur,0.854700855,9.0,25.0
Sukhjinder Singh Randhawa,Punjab,Indian National Congress,Gurdaspur,0.897435897,6.0,69.0
Amra Ram,Rajasthan,Communist Party of India (Marxist),Sikar,0.863247863,27.0,114.0
Bhajan Lal Jatav,Rajasthan,Indian National Congress,Karauli-Dholpur,0.914529915,8.0,38.0
Brijendra Singh Ola,Rajasthan,Indian National Congress,Jhunjhunu,1.0,20.0,79.0
Chandra Prakash Joshi,Rajasthan,Bharatiya Janata Party,Chittorgarh,0.965811966,36.0,115.0
Dushyant Singh,Rajasthan,Bharatiya Janata Party,Jhalawar-Baran,0.948717949,18.0,133.0
Harish Chandra Meena,Rajasthan,Indian National Congress,Tonk-Sawai Madhopur,0.974358974,14.0,91.0
Mahima Kumari Mewar,Rajasthan,Bharatiya Janata Party,Rajsamand,0.931623932,22.0,118.0
Manju Sharma,Rajasthan,Bharatiya Janata Party,Jaipur,0.991452991,38.0,99.0
Manna Lal Rawat,Rajasthan,Bharatiya Janata Party,Udaipur,1.0,31.0,166.0
